File,Template,UnifSize,ConsSize,Diff,PercentDiff
0511-N-extra.xlsx,First Page Summary,30338,102097,71759,236.5
0511-N-extra.xlsx,Deviation Statement,29836,85661,55825,187.1
0511-N-extra.xlsx,BILL SCRUTINY SHEET,20868,86472,65604,314.4
0511-N-extra.xlsx,Certificate II,21669,57299,35630,164.4
0511-N-extra.xlsx,Certificate III,23768,91040,67272,283.0
0511-N-extra.xlsx,Extra Items Statement,22900,74183,51283,223.9
0511Wextra.xlsx,First Page Summary,30336,102097,71761,236.6
0511Wextra.xlsx,Deviation Statement,29835,85661,55826,187.1
0511Wextra.xlsx,BILL SCRUTINY SHEET,20868,86472,65604,314.4
0511Wextra.xlsx,Certificate II,21669,57299,35630,164.4
0511Wextra.xlsx,Certificate III,23765,91040,67275,283.1
0511Wextra.xlsx,Extra Items Statement,22899,74183,51284,224.0
3rdFinalNoExtra.xlsx,First Page Summary,44637,132942,88305,197.8
3rdFinalNoExtra.xlsx,Deviation Statement,44778,114635,69857,156.0
3rdFinalNoExtra.xlsx,BILL SCRUTINY SHEET,20676,86177,65501,316.8
3rdFinalNoExtra.xlsx,Certificate II,21671,57299,35628,164.4
3rdFinalNoExtra.xlsx,Certificate III,23997,92375,68378,284.9
3rdFinalVidExtra.xlsx,First Page Summary,46653,149059,102406,219.5
3rdFinalVidExtra.xlsx,Deviation Statement,47526,124783,77257,162.6
3rdFinalVidExtra.xlsx,BILL SCRUTINY SHEET,20683,86495,65812,318.2
3rdFinalVidExtra.xlsx,Certificate II,21670,57299,35629,164.4
3rdFinalVidExtra.xlsx,Certificate III,24023,92095,68072,283.4
3rdFinalVidExtra.xlsx,Extra Items Statement,22408,111790,89382,398.9
3rdRunningNoExtra.xlsx,First Page Summary,46579,149334,102755,220.6
3rdRunningNoExtra.xlsx,BILL SCRUTINY SHEET,19829,86488,66659,336.2
3rdRunningNoExtra.xlsx,Certificate II,21669,57299,35630,164.4
3rdRunningNoExtra.xlsx,Certificate III,24011,93931,69920,291.2
3rdRunningNoExtra.xlsx,Extra Items Statement,22584,111782,89198,395.0
3rdRunningVidExtra.xlsx,First Page Summary,46579,149334,102755,220.6
3rdRunningVidExtra.xlsx,BILL SCRUTINY SHEET,19829,86488,66659,336.2
3rdRunningVidExtra.xlsx,Certificate II,21670,57299,35629,164.4
3rdRunningVidExtra.xlsx,Certificate III,24009,93931,69922,291.2
3rdRunningVidExtra.xlsx,Extra Items Statement,22582,111782,89200,395.0
FirstFINALnoExtra.xlsx,First Page Summary,44313,133528,89215,201.3
FirstFINALnoExtra.xlsx,Deviation Statement,44628,115430,70802,158.6
FirstFINALnoExtra.xlsx,BILL SCRUTINY SHEET,20659,86180,65521,317.2
FirstFINALnoExtra.xlsx,Certificate II,21671,57299,35628,164.4
FirstFINALnoExtra.xlsx,Certificate III,24133,92083,67950,281.6
FirstFINALnoExtra.xlsx,Extra Items Statement,19482,100300,80818,414.8
FirstFINALvidExtra.xlsx,First Page Summary,46365,149334,102969,222.1
FirstFINALvidExtra.xlsx,Deviation Statement,47577,124674,77097,162.0
FirstFINALvidExtra.xlsx,BILL SCRUTINY SHEET,20877,86488,65611,314.3
FirstFINALvidExtra.xlsx,Certificate II,21673,57299,35626,164.4
FirstFINALvidExtra.xlsx,Certificate III,23864,93931,70067,293.6
FirstFINALvidExtra.xlsx,Extra Items Statement,22898,111782,88884,388.2